c
c test max format
10000.0 -27 -147 0
10000.0 -27 -148 0
10000.0 -27 -149 0
10000.0 -27 -150 0
10000.0 -28 -146 0
10000.0 -28 -147 0
10000.0 -28 -148 0
10000.0 -28 -149 0
10000.0 -28 -150 0
10000.0 -29 -146 0
10000.0 -29 -147 0
10000.0 -29 -148 0
10000.0 -29 -149 0
10000.0 -29 -150 0
10000.0 -30 -146 0
10000.0 -30 -147 0
10000.0 -30 -148 0
10000.0 -30 -149 0
10000.0 -30 -150 0
10000.0 -31 -106 0
10000.0 -31 -107 0
10000.0 -31 -108 0
10000.0 -31 -109 0
10000.0 -31 -110 0
10000.0 -32 -106 0
10000.0 -32 -107 0
10000.0 -32 -108 0
10000.0 -32 -109 0
10000.0 -32 -110 0
10000.0 -33 -106 0
10000.0 -33 -107 0
10000.0 -33 -108 0
10000.0 -33 -109 0
10000.0 -33 -110 0
10000.0 -34 -106 0
10000.0 -34 -107 0
10000.0 -34 -108 0
10000.0 -34 -109 0
10000.0 -34 -110 0
10000.0 -35 -106 0
10000.0 -35 -107 0
10000.0 -35 -108 0
10000.0 -35 -109 0
10000.0 -35 -110 0
10000.0 -36 -211 0
10000.0 -36 -212 0
10000.0 -36 -213 0
10000.0 -36 -214 0
10000.0 -36 -215 0
10000.0 -37 -211 0
10000.0 -37 -212 0
10000.0 -37 -213 0
10000.0 -37 -214 0
10000.0 -37 -215 0
10000.0 -38 -211 0
10000.0 -38 -212 0
10000.0 -38 -213 0
10000.0 -38 -214 0
10000.0 -38 -215 0
10000.0 -39 -211 0
10000.0 -39 -212 0
10000.0 -39 -213 0
10000.0 -39 -214 0
10000.0 -39 -215 0
10000.0 -40 -211 0
10000.0 -40 -212 0
10000.0 -40 -213 0
10000.0 -40 -214 0
10000.0 -40 -215 0
10000.0 -41 -96 0
10000.0 -41 -97 0
10000.0 -41 -98 0
10000.0 -41 -99 0
10000.0 -41 -100 0
10000.0 -42 -96 0
10000.0 -42 -97 0
10000.0 -42 -98 0
10000.0 -42 -99 0
10000.0 -42 -100 0
10000.0 -43 -96 0
10000.0 -43 -97 0
10000.0 -43 -98 0
10000.0 -43 -99 0
10000.0 -43 -100 0
10000.0 -44 -96 0
10000.0 -44 -97 0
10000.0 -44 -98 0
10000.0 -44 -99 0
10000.0 -44 -100 0
10000.0 -45 -96 0
10000.0 -45 -97 0
10000.0 -45 -98 0
10000.0 -45 -99 0
10000.0 -45 -100 0
10000.0 -51 -61 0
10000.0 -51 -62 0
10000.0 -51 -63 0
10000.0 -51 -64 0
10000.0 -51 -65 0
10000.0 -51 -71 0
10000.0 -51 -72 0
10000.0 -51 -73 0
10000.0 -51 -74 0
10000.0 -51 -75 0
10000.0 -51 -86 0
10000.0 -51 -87 0
10000.0 -51 -88 0
10000.0 -51 -89 0
10000.0 -51 -90 0
10000.0 -51 -196 0
10000.0 -51 -197 0
10000.0 -51 -198 0
10000.0 -51 -199 0
10000.0 -51 -200 0
10000.0 -52 -61 0
10000.0 -52 -62 0
10000.0 -52 -63 0
10000.0 -52 -64 0
10000.0 -52 -65 0
10000.0 -52 -71 0
10000.0 -52 -72 0
10000.0 -52 -73 0
10000.0 -52 -74 0
10000.0 -52 -75 0
10000.0 -52 -86 0
10000.0 -52 -87 0
10000.0 -52 -88 0
10000.0 -52 -89 0
10000.0 -52 -90 0
10000.0 -52 -196 0
10000.0 -52 -197 0
10000.0 -52 -198 0
10000.0 -52 -199 0
10000.0 -52 -200 0
10000.0 -53 -61 0
10000.0 -53 -62 0
10000.0 -53 -63 0
10000.0 -53 -64 0
10000.0 -53 -65 0
10000.0 -53 -71 0
10000.0 -53 -72 0
10000.0 -53 -73 0
10000.0 -53 -74 0
10000.0 -53 -75 0
10000.0 -53 -86 0
10000.0 -53 -87 0
10000.0 -53 -88 0
10000.0 -53 -89 0
10000.0 -53 -90 0
10000.0 -53 -196 0
10000.0 -53 -197 0
10000.0 -53 -198 0
10000.0 -53 -199 0
10000.0 -53 -200 0
10000.0 -54 -61 0
10000.0 -54 -62 0
10000.0 -54 -63 0
10000.0 -54 -64 0
10000.0 -54 -65 0
10000.0 -54 -71 0
10000.0 -54 -72 0
10000.0 -54 -73 0
10000.0 -54 -74 0
10000.0 -54 -75 0
10000.0 -54 -86 0
10000.0 -54 -87 0
10000.0 -54 -88 0
10000.0 -54 -89 0
10000.0 -54 -90 0
10000.0 -54 -196 0
10000.0 -54 -197 0
10000.0 -54 -198 0
10000.0 -54 -199 0
10000.0 -54 -200 0
10000.0 -55 -61 0
10000.0 -55 -62 0
10000.0 -55 -63 0
10000.0 -55 -64 0
10000.0 -55 -65 0
10000.0 -55 -71 0
10000.0 -55 -72 0
10000.0 -55 -73 0
10000.0 -55 -74 0
10000.0 -55 -75 0
10000.0 -55 -86 0
10000.0 -55 -87 0
10000.0 -55 -88 0
10000.0 -55 -89 0
10000.0 -55 -90 0
10000.0 -55 -196 0
10000.0 -55 -197 0
10000.0 -55 -198 0
10000.0 -55 -199 0
10000.0 -55 -200 0
10000.0 -56 -246 0
10000.0 -56 -247 0
10000.0 -56 -248 0
10000.0 -56 -249 0
10000.0 -56 -250 0
10000.0 -56 -251 0
10000.0 -56 -252 0
10000.0 -56 -253 0
10000.0 -56 -254 0
10000.0 -56 -255 0
10000.0 -57 -246 0
10000.0 -57 -247 0
10000.0 -57 -248 0
10000.0 -57 -249 0
10000.0 -57 -250 0
10000.0 -57 -251 0
10000.0 -57 -252 0
10000.0 -57 -253 0
10000.0 -57 -254 0
10000.0 -57 -255 0
10000.0 -58 -246 0
10000.0 -58 -247 0
10000.0 -58 -248 0
10000.0 -58 -249 0
10000.0 -58 -250 0
10000.0 -58 -251 0
10000.0 -58 -252 0
10000.0 -58 -253 0
10000.0 -58 -254 0
10000.0 -58 -255 0
10000.0 -59 -246 0
10000.0 -59 -247 0
10000.0 -59 -248 0
10000.0 -59 -249 0
10000.0 -59 -250 0
10000.0 -59 -251 0
10000.0 -59 -252 0
10000.0 -59 -253 0
10000.0 -59 -254 0
10000.0 -59 -255 0
10000.0 -60 -246 0
10000.0 -60 -247 0
10000.0 -60 -248 0
10000.0 -60 -249 0
10000.0 -60 -250 0
10000.0 -60 -251 0
10000.0 -60 -252 0
10000.0 -60 -253 0
10000.0 -60 -254 0
10000.0 -60 -255 0
10000.0 -61 -71 0
10000.0 -61 -72 0
10000.0 -61 -73 0
10000.0 -61 -74 0
10000.0 -61 -75 0
10000.0 -61 -196 0
10000.0 -61 -197 0
10000.0 -61 -198 0
10000.0 -61 -199 0
10000.0 -61 -200 0
10000.0 -62 -71 0
10000.0 -62 -72 0
10000.0 -62 -73 0
10000.0 -62 -74 0
10000.0 -62 -75 0
10000.0 -62 -196 0
10000.0 -62 -197 0
10000.0 -62 -198 0
10000.0 -62 -199 0
10000.0 -62 -200 0
10000.0 -63 -71 0
10000.0 -63 -72 0
10000.0 -63 -73 0
10000.0 -63 -74 0
10000.0 -63 -75 0
10000.0 -63 -196 0
10000.0 -63 -197 0
10000.0 -63 -198 0
10000.0 -63 -199 0
10000.0 -63 -200 0
10000.0 -64 -71 0
10000.0 -64 -72 0
10000.0 -64 -73 0
10000.0 -64 -74 0
10000.0 -64 -75 0
10000.0 -64 -196 0
10000.0 -64 -197 0
10000.0 -64 -198 0
10000.0 -64 -199 0
10000.0 -64 -200 0
10000.0 -65 -71 0
10000.0 -65 -72 0
10000.0 -65 -73 0
10000.0 -65 -74 0
10000.0 -65 -75 0
10000.0 -65 -196 0
10000.0 -65 -197 0
10000.0 -65 -198 0
10000.0 -65 -199 0
10000.0 -65 -200 0
10000.0 -71 -86 0
10000.0 -71 -87 0
10000.0 -71 -88 0
10000.0 -71 -89 0
10000.0 -71 -90 0
10000.0 -72 -86 0
10000.0 -72 -87 0
10000.0 -72 -88 0
10000.0 -72 -89 0
10000.0 -72 -90 0
10000.0 -73 -86 0
10000.0 -73 -87 0
10000.0 -73 -88 0
10000.0 -73 -89 0
10000.0 -73 -90 0
10000.0 -74 -86 0
10000.0 -74 -87 0
10000.0 -74 -88 0
10000.0 -74 -89 0
10000.0 -74 -90 0
10000.0 -75 -86 0
10000.0 -75 -87 0
10000.0 -75 -88 0
10000.0 -75 -89 0
10000.0 -75 -90 0
10000.0 -76 -276 0
10000.0 -76 -277 0
10000.0 -76 -278 0
10000.0 -76 -279 0
10000.0 -76 -280 0
10000.0 -77 -276 0
10000.0 -77 -277 0
10000.0 -77 -278 0
10000.0 -77 -279 0
10000.0 -77 -280 0
10000.0 -78 -276 0
10000.0 -78 -277 0
10000.0 -78 -278 0
10000.0 -78 -279 0
10000.0 -78 -280 0
10000.0 -79 -276 0
10000.0 -79 -277 0
10000.0 -79 -278 0
10000.0 -79 -279 0
10000.0 -79 -280 0
10000.0 -80 -276 0
10000.0 -80 -277 0
10000.0 -80 -278 0
10000.0 -80 -279 0
10000.0 -80 -280 0
10000.0 -86 -96 0
10000.0 -86 -97 0
10000.0 -86 -98 0
10000.0 -86 -99 0
10000.0 -86 -100 0
10000.0 -86 -196 0
10000.0 -86 -197 0
10000.0 -86 -198 0
10000.0 -86 -199 0
10000.0 -86 -200 0
10000.0 -87 -96 0
10000.0 -87 -97 0
10000.0 -87 -98 0
10000.0 -87 -99 0
10000.0 -87 -100 0
10000.0 -87 -196 0
10000.0 -87 -197 0
10000.0 -87 -198 0
10000.0 -87 -199 0
10000.0 -87 -200 0
10000.0 -88 -96 0
10000.0 -88 -97 0
10000.0 -88 -98 0
10000.0 -88 -99 0
10000.0 -88 -100 0
10000.0 -88 -196 0
10000.0 -88 -197 0
10000.0 -88 -198 0
10000.0 -88 -199 0
10000.0 -88 -200 0
10000.0 -89 -96 0
10000.0 -89 -97 0
10000.0 -89 -98 0
10000.0 -89 -99 0
10000.0 -89 -100 0
10000.0 -89 -196 0
10000.0 -89 -197 0
10000.0 -89 -198 0
10000.0 -89 -199 0
10000.0 -89 -200 0
10000.0 -90 -96 0
10000.0 -90 -97 0
10000.0 -90 -98 0
10000.0 -90 -99 0
10000.0 -90 -100 0
10000.0 -90 -196 0
10000.0 -90 -197 0
10000.0 -90 -198 0
10000.0 -90 -199 0
10000.0 -90 -200 0
10000.0 -91 -246 0
10000.0 -91 -247 0
10000.0 -91 -248 0
10000.0 -91 -249 0
10000.0 -91 -250 0
10000.0 -91 -251 0
10000.0 -91 -252 0
10000.0 -91 -253 0
10000.0 -91 -254 0
10000.0 -91 -255 0
10000.0 -92 -246 0
10000.0 -92 -247 0
10000.0 -92 -248 0
10000.0 -92 -249 0
10000.0 -92 -250 0
10000.0 -92 -251 0
10000.0 -92 -252 0
10000.0 -92 -253 0
10000.0 -92 -254 0
10000.0 -92 -255 0
10000.0 -93 -246 0
10000.0 -93 -247 0
10000.0 -93 -248 0
10000.0 -93 -249 0
10000.0 -93 -250 0
10000.0 -93 -251 0
10000.0 -93 -252 0
10000.0 -93 -253 0
10000.0 -93 -254 0
10000.0 -93 -255 0
10000.0 -94 -246 0
10000.0 -94 -247 0
10000.0 -94 -248 0
10000.0 -94 -249 0
10000.0 -94 -250 0
10000.0 -94 -251 0
10000.0 -94 -252 0
10000.0 -94 -253 0
10000.0 -94 -254 0
10000.0 -94 -255 0
10000.0 -95 -246 0
10000.0 -95 -247 0
10000.0 -95 -248 0
10000.0 -95 -249 0
10000.0 -95 -250 0
10000.0 -95 -251 0
10000.0 -95 -252 0
10000.0 -95 -253 0
10000.0 -95 -254 0
10000.0 -95 -255 0
10000.0 -96 -196 0
10000.0 -96 -197 0
10000.0 -96 -198 0
10000.0 -96 -199 0
10000.0 -96 -200 0
10000.0 -97 -196 0
10000.0 -97 -197 0
10000.0 -97 -198 0
10000.0 -97 -199 0
10000.0 -97 -200 0
10000.0 -98 -196 0
10000.0 -98 -197 0
10000.0 -98 -198 0
10000.0 -98 -199 0
10000.0 -98 -200 0
10000.0 -99 -196 0
10000.0 -99 -197 0
10000.0 -99 -198 0
10000.0 -99 -199 0
10000.0 -99 -200 0
10000.0 -100 -196 0
10000.0 -100 -197 0
10000.0 -100 -198 0
10000.0 -100 -199 0
10000.0 -100 -200 0
10000.0 -121 -286 0
10000.0 -121 -287 0
10000.0 -121 -288 0
10000.0 -121 -289 0
10000.0 -121 -290 0
10000.0 -121 -291 0
10000.0 -121 -292 0
10000.0 -121 -293 0
10000.0 -121 -294 0
10000.0 -121 -295 0
10000.0 -122 -286 0
10000.0 -122 -287 0
10000.0 -122 -288 0
10000.0 -122 -289 0
10000.0 -122 -290 0
10000.0 -122 -291 0
10000.0 -122 -292 0
10000.0 -122 -293 0
10000.0 -122 -294 0
10000.0 -122 -295 0
10000.0 -123 -286 0
10000.0 -123 -287 0
10000.0 -123 -288 0
10000.0 -123 -289 0
10000.0 -123 -290 0
10000.0 -123 -291 0
10000.0 -123 -292 0
10000.0 -123 -293 0
10000.0 -123 -294 0
10000.0 -123 -295 0
10000.0 -124 -286 0
10000.0 -124 -287 0
10000.0 -124 -288 0
10000.0 -124 -289 0
10000.0 -124 -290 0
10000.0 -124 -291 0
10000.0 -124 -292 0
10000.0 -124 -293 0
10000.0 -124 -294 0
10000.0 -124 -295 0
10000.0 -125 -286 0
10000.0 -125 -287 0
10000.0 -125 -288 0
10000.0 -125 -289 0
10000.0 -125 -290 0
10000.0 -125 -291 0
10000.0 -125 -292 0
10000.0 -125 -293 0
10000.0 -125 -294 0
10000.0 -125 -295 0
10000.0 -131 -261 0
10000.0 -131 -262 0
10000.0 -131 -263 0
10000.0 -131 -264 0
10000.0 -131 -265 0
10000.0 -131 -296 0
10000.0 -131 -297 0
10000.0 -131 -298 0
10000.0 -131 -299 0
10000.0 -131 -300 0
10000.0 -132 -261 0
10000.0 -132 -262 0
10000.0 -132 -263 0
10000.0 -132 -264 0
10000.0 -132 -265 0
10000.0 -132 -296 0
10000.0 -132 -297 0
10000.0 -132 -298 0
10000.0 -132 -299 0
10000.0 -132 -300 0
10000.0 -133 -261 0
10000.0 -133 -262 0
10000.0 -133 -263 0
10000.0 -133 -264 0
10000.0 -133 -265 0
10000.0 -133 -296 0
10000.0 -133 -297 0
10000.0 -133 -298 0
10000.0 -133 -299 0
10000.0 -133 -300 0
10000.0 -134 -261 0
10000.0 -134 -262 0
10000.0 -134 -263 0
10000.0 -134 -264 0
10000.0 -134 -265 0
10000.0 -134 -296 0
10000.0 -134 -297 0
10000.0 -134 -298 0
10000.0 -134 -299 0
10000.0 -134 -300 0
10000.0 -135 -261 0
10000.0 -135 -262 0
10000.0 -135 -263 0
10000.0 -135 -264 0
10000.0 -135 -265 0
10000.0 -135 -296 0
10000.0 -135 -297 0
10000.0 -135 -298 0
10000.0 -135 -299 0
10000.0 -135 -300 0
10000.0 -141 -151 0
10000.0 -141 -152 0
10000.0 -141 -153 0
10000.0 -141 -154 0
10000.0 -141 -155 0
10000.0 -142 -151 0
10000.0 -142 -152 0
10000.0 -142 -153 0
10000.0 -142 -154 0
10000.0 -142 -155 0
10000.0 -143 -151 0
10000.0 -143 -152 0
10000.0 -143 -153 0
10000.0 -143 -154 0
10000.0 -143 -155 0
10000.0 -144 -151 0
10000.0 -144 -152 0
10000.0 -144 -153 0
10000.0 -144 -154 0
10000.0 -144 -155 0
10000.0 -145 -151 0
10000.0 -145 -152 0
10000.0 -145 -153 0
10000.0 -145 -154 0
10000.0 -145 -155 0
10000.0 -146 -181 0
10000.0 -146 -182 0
10000.0 -146 -183 0
10000.0 -146 -184 0
10000.0 -146 -185 0
10000.0 -147 -181 0
10000.0 -147 -182 0
10000.0 -147 -183 0
10000.0 -147 -184 0
10000.0 -147 -185 0
10000.0 -148 -181 0
10000.0 -148 -182 0
10000.0 -148 -183 0
10000.0 -148 -184 0
10000.0 -148 -185 0
10000.0 -149 -181 0
10000.0 -149 -182 0
10000.0 -149 -183 0
10000.0 -149 -184 0
10000.0 -149 -185 0
10000.0 -150 -181 0
10000.0 -150 -182 0
10000.0 -150 -183 0
10000.0 -150 -184 0
10000.0 -150 -185 0
10000.0 -151 -166 0
10000.0 -151 -167 0
10000.0 -151 -168 0
10000.0 -151 -169 0
10000.0 -151 -170 0
10000.0 -152 -166 0
10000.0 -152 -167 0
10000.0 -152 -168 0
10000.0 -152 -169 0
10000.0 -152 -170 0
10000.0 -153 -166 0
10000.0 -153 -167 0
10000.0 -153 -168 0
10000.0 -153 -169 0
10000.0 -153 -170 0
10000.0 -154 -166 0
10000.0 -154 -167 0
10000.0 -154 -168 0
10000.0 -154 -169 0
10000.0 -154 -170 0
10000.0 -155 -166 0
10000.0 -155 -167 0
10000.0 -155 -168 0
10000.0 -155 -169 0
10000.0 -155 -170 0
10000.0 -161 -181 0
10000.0 -161 -182 0
10000.0 -161 -183 0
10000.0 -161 -184 0
10000.0 -161 -185 0
10000.0 -161 -206 0
10000.0 -161 -207 0
10000.0 -161 -208 0
10000.0 -161 -209 0
10000.0 -161 -210 0
10000.0 -162 -181 0
10000.0 -162 -182 0
10000.0 -162 -183 0
10000.0 -162 -184 0
10000.0 -162 -185 0
10000.0 -162 -206 0
10000.0 -162 -207 0
10000.0 -162 -208 0
10000.0 -162 -209 0
10000.0 -162 -210 0
10000.0 -163 -181 0
10000.0 -163 -182 0
10000.0 -163 -183 0
10000.0 -163 -184 0
10000.0 -163 -185 0
10000.0 -163 -206 0
10000.0 -163 -207 0
10000.0 -163 -208 0
10000.0 -163 -209 0
10000.0 -163 -210 0
10000.0 -164 -181 0
10000.0 -164 -182 0
10000.0 -164 -183 0
10000.0 -164 -184 0
10000.0 -164 -185 0
10000.0 -164 -206 0
10000.0 -164 -207 0
10000.0 -164 -208 0
10000.0 -164 -209 0
10000.0 -164 -210 0
10000.0 -165 -181 0
10000.0 -165 -182 0
10000.0 -165 -183 0
10000.0 -165 -184 0
10000.0 -165 -185 0
10000.0 -165 -206 0
10000.0 -165 -207 0
10000.0 -165 -208 0
10000.0 -165 -209 0
10000.0 -165 -210 0
10000.0 -166 -176 0
10000.0 -166 -177 0
10000.0 -166 -178 0
10000.0 -166 -179 0
10000.0 -166 -180 0
10000.0 -167 -176 0
10000.0 -167 -177 0
10000.0 -167 -178 0
10000.0 -167 -179 0
10000.0 -167 -180 0
10000.0 -168 -176 0
10000.0 -168 -177 0
10000.0 -168 -178 0
10000.0 -168 -179 0
10000.0 -168 -180 0
10000.0 -169 -176 0
10000.0 -169 -177 0
10000.0 -169 -178 0
10000.0 -169 -179 0
10000.0 -169 -180 0
10000.0 -170 -176 0
10000.0 -170 -177 0
10000.0 -170 -178 0
10000.0 -170 -179 0
10000.0 -170 -180 0
10000.0 -176 -201 0
10000.0 -176 -202 0
10000.0 -176 -203 0
10000.0 -176 -204 0
10000.0 -176 -205 0
10000.0 -177 -201 0
10000.0 -177 -202 0
10000.0 -177 -203 0
10000.0 -177 -204 0
10000.0 -177 -205 0
10000.0 -178 -201 0
10000.0 -178 -202 0
10000.0 -178 -203 0
10000.0 -178 -204 0
10000.0 -178 -205 0
10000.0 -179 -201 0
10000.0 -179 -202 0
10000.0 -179 -203 0
10000.0 -179 -204 0
10000.0 -179 -205 0
10000.0 -180 -201 0
10000.0 -180 -202 0
10000.0 -180 -203 0
10000.0 -180 -204 0
10000.0 -180 -205 0
10000.0 -191 -276 0
10000.0 -191 -277 0
10000.0 -191 -278 0
10000.0 -191 -279 0
10000.0 -191 -280 0
10000.0 -192 -276 0
10000.0 -192 -277 0
10000.0 -192 -278 0
10000.0 -192 -279 0
10000.0 -192 -280 0
10000.0 -193 -276 0
10000.0 -193 -277 0
10000.0 -193 -278 0
10000.0 -193 -279 0
10000.0 -193 -280 0
10000.0 -194 -276 0
10000.0 -194 -277 0
10000.0 -194 -278 0
10000.0 -194 -279 0
10000.0 -194 -280 0
10000.0 -195 -276 0
10000.0 -195 -277 0
10000.0 -195 -278 0
10000.0 -195 -279 0
10000.0 -195 -280 0
10000.0 -221 -241 0
10000.0 -221 -242 0
10000.0 -221 -243 0
10000.0 -221 -244 0
10000.0 -221 -245 0
10000.0 -221 -256 0
10000.0 -221 -257 0
10000.0 -221 -258 0
10000.0 -221 -259 0
10000.0 -221 -260 0
10000.0 -222 -241 0
10000.0 -222 -242 0
10000.0 -222 -243 0
10000.0 -222 -244 0
10000.0 -222 -245 0
10000.0 -222 -256 0
10000.0 -222 -257 0
10000.0 -222 -258 0
10000.0 -222 -259 0
10000.0 -222 -260 0
10000.0 -223 -241 0
10000.0 -223 -242 0
10000.0 -223 -243 0
10000.0 -223 -244 0
10000.0 -223 -245 0
10000.0 -223 -256 0
10000.0 -223 -257 0
10000.0 -223 -258 0
10000.0 -223 -259 0
10000.0 -223 -260 0
10000.0 -224 -241 0
10000.0 -224 -242 0
10000.0 -224 -243 0
10000.0 -224 -244 0
10000.0 -224 -245 0
10000.0 -224 -256 0
10000.0 -224 -257 0
10000.0 -224 -258 0
10000.0 -224 -259 0
10000.0 -224 -260 0
10000.0 -225 -241 0
10000.0 -225 -242 0
10000.0 -225 -243 0
10000.0 -225 -244 0
10000.0 -225 -245 0
10000.0 -225 -256 0
10000.0 -225 -257 0
10000.0 -225 -258 0
10000.0 -225 -259 0
10000.0 -225 -260 0
10000.0 -266 -286 0
10000.0 -266 -287 0
10000.0 -266 -288 0
10000.0 -266 -289 0
10000.0 -266 -290 0
10000.0 -266 -291 0
10000.0 -266 -292 0
10000.0 -266 -293 0
10000.0 -266 -294 0
10000.0 -266 -295 0
10000.0 -267 -286 0
10000.0 -267 -287 0
10000.0 -267 -288 0
10000.0 -267 -289 0
10000.0 -267 -290 0
10000.0 -267 -291 0
10000.0 -267 -292 0
10000.0 -267 -293 0
10000.0 -267 -294 0
10000.0 -267 -295 0
10000.0 -268 -286 0
10000.0 -268 -287 0
10000.0 -268 -288 0
10000.0 -268 -289 0
10000.0 -268 -290 0
10000.0 -268 -291 0
10000.0 -268 -292 0
10000.0 -268 -293 0
10000.0 -268 -294 0
10000.0 -268 -295 0
10000.0 -269 -286 0
10000.0 -269 -287 0
10000.0 -269 -288 0
10000.0 -269 -289 0
10000.0 -269 -290 0
10000.0 -269 -291 0
10000.0 -269 -292 0
10000.0 -269 -293 0
10000.0 -269 -294 0
10000.0 -269 -295 0
10000.0 -270 -286 0
10000.0 -270 -287 0
10000.0 -270 -288 0
10000.0 -270 -289 0
10000.0 -270 -290 0
10000.0 -270 -291 0
10000.0 -270 -292 0
10000.0 -270 -293 0
10000.0 -270 -294 0
10000.0 -270 -295 0
10000.0 -271 -291 0
10000.0 -271 -292 0
10000.0 -271 -293 0
10000.0 -271 -294 0
10000.0 -271 -295 0
10000.0 -272 -291 0
10000.0 -272 -292 0
10000.0 -272 -293 0
10000.0 -272 -294 0
10000.0 -272 -295 0
10000.0 -273 -291 0
10000.0 -273 -292 0
10000.0 -273 -293 0
10000.0 -273 -294 0
10000.0 -273 -295 0
10000.0 -274 -291 0
10000.0 -274 -292 0
10000.0 -274 -293 0
10000.0 -274 -294 0
10000.0 -274 -295 0
10000.0 -275 -291 0
10000.0 -275 -292 0
10000.0 -275 -293 0
10000.0 -275 -294 0
10000.0 -275 -295 0
1.60 1 0
0.91 2 0
0.51 3 0
0.22 4 0
0.0 5 0
1.60 6 0
0.91 7 0
0.51 8 0
0.22 9 0
0.0 10 0
1.60 11 0
0.91 12 0
0.51 13 0
0.22 14 0
0.0 15 0
1.60 16 0
0.91 17 0
0.51 18 0
0.22 19 0
0.0 20 0
1.60 21 0
0.91 22 0
0.51 23 0
0.22 24 0
0.0 25 0
1.60 26 0
0.91 27 0
0.51 28 0
0.22 29 0
0.0 30 0
1.60 31 0
0.91 32 0
0.51 33 0
0.22 34 0
0.0 35 0
1.60 36 0
0.91 37 0
0.51 38 0
0.22 39 0
0.0 40 0
1.60 41 0
0.91 42 0
0.51 43 0
0.22 44 0
0.0 45 0
1.60 46 0
0.91 47 0
0.51 48 0
0.22 49 0
0.0 50 0
1.60 51 0
0.91 52 0
0.51 53 0
0.22 54 0
0.0 55 0
1.60 56 0
0.91 57 0
0.51 58 0
0.22 59 0
0.0 60 0
1.60 61 0
0.91 62 0
0.51 63 0
0.22 64 0
0.0 65 0
1.60 66 0
0.91 67 0
0.51 68 0
0.22 69 0
0.0 70 0
1.60 71 0
0.91 72 0
0.51 73 0
0.22 74 0
0.0 75 0
1.60 76 0
0.91 77 0
0.51 78 0
0.22 79 0
0.0 80 0
1.60 81 0
